"id","country_id","name","enabled","deleted_at","created_at","updated_at"
"307","AR","General Villegas","1",NULL,NULL,NULL
"308","AR","Germania","1",NULL,NULL,NULL
"309","AR","Glew","1",NULL,NULL,NULL
"310","AR","Gobernador Crespo","1",NULL,NULL,NULL
"311","AR","Gobernador Galvez","1",NULL,NULL,NULL
"312","AR","Godoy","1",NULL,NULL,NULL
"313","AR","Godoy Cruz","1",NULL,NULL,NULL
"314","AR","Gonzalez Catan","1",NULL,NULL,NULL
"315","AR","Gonzalez Moreno","1",NULL,NULL,NULL
"316","AR","Goya","1",NULL,NULL,NULL
"317","AR","Granadero Baigorria","1",NULL,NULL,NULL
"318","AR","Grand Bourg","1",NULL,NULL,NULL
"319","AR","Gualeguay","1",NULL,NULL,NULL
"320","AR","Guatrache","1",NULL,NULL,NULL
"321","AR","Guernica","1",NULL,NULL,NULL
"322","AR","Henderson","1",NULL,NULL,NULL
"323","AR","Hernando","1",NULL,NULL,NULL
"324","AR","Hersilia","1",NULL,NULL,NULL
"325","AR","Hilario","1",NULL,NULL,NULL
"326","AR","Hilario Ascasubi","1",NULL,NULL,NULL
"327","AR","Hipatia","1",NULL,NULL,NULL
"328","AR","Hipolito Yrigoyen","1",NULL,NULL,NULL
"329","AR","Huanchillas","1",NULL,NULL,NULL
"330","AR","Huanguelen","1",NULL,NULL,NULL
"331","AR","Huinca Renanco","1",NULL,NULL,NULL
"332","AR","Humahuaca","1",NULL,NULL,NULL
"333","AR","Hurlingham","1",NULL,NULL,NULL
"334","AR","Ibarlucea","1",NULL,NULL,NULL
"335","AR","Ibicuy","1",NULL,NULL,NULL
"336","AR","Independencia","1",NULL,NULL,NULL
"337","AR","Ingeniero Beaugey","1",NULL,NULL,NULL
"338","AR","Ingeniero Luiggi","1",NULL,NULL,NULL
"339","AR","Ingeniero Maschwitz","1",NULL,NULL,NULL
"340","AR","Intendente Alvear","1",NULL,NULL,NULL
"341","AR","Isidro Casanova","1",NULL,NULL,NULL
"342","AR","Ituzaingo","1",NULL,NULL,NULL
"343","AR","James Craik","1",NULL,NULL,NULL
"344","AR","Jauregui","1",NULL,NULL,NULL
"345","AR","Jeppener","1",NULL,NULL,NULL
"346","AR","Jesus Maria","1",NULL,NULL,NULL
"347","AR","Jose Leon Suarez","1",NULL,NULL,NULL
"348","AR","Jose Marmol","1",NULL,NULL,NULL
"349","AR","Juan Pujol","1",NULL,NULL,NULL
"350","AR","Justiniano Posse","1",NULL,NULL,NULL
"351","AR","La Banda","1",NULL,NULL,NULL
"352","AR","La Boca","1",NULL,NULL,NULL
"353","AR","La Calera","1",NULL,NULL,NULL
"354","AR","La Cumbre","1",NULL,NULL,NULL
"355","AR","La Falda","1",NULL,NULL,NULL
"356","AR","La Leonesa","1",NULL,NULL,NULL
"357","AR","La Lucila","1",NULL,NULL,NULL
"358","AR","La Madrid","1",NULL,NULL,NULL
"359","AR","La Pampa","1",NULL,NULL,NULL
"360","AR","La Para","1",NULL,NULL,NULL
"361","AR","La Paz","1",NULL,NULL,NULL
"362","AR","La Plata","1",NULL,NULL,NULL
"363","AR","La Punta","1",NULL,NULL,NULL
"364","AR","La Rioja","1",NULL,NULL,NULL
"365","AR","La Tablada","1",NULL,NULL,NULL
"366","AR","La Union","1",NULL,NULL,NULL
"367","AR","La Violeta","1",NULL,NULL,NULL
